Date/Time,Unit,Value
6/16/2023 4:13,C,24.5
6/16/2023 4:23,C,23.5
6/16/2023 4:33,C,24.5
6/16/2023 4:43,C,24.5
6/16/2023 4:53,C,24.5
6/16/2023 5:03,C,24.5
6/16/2023 5:13,C,24.5
6/16/2023 5:23,C,23
6/16/2023 5:33,C,22.5
6/16/2023 5:43,C,22
6/16/2023 5:53,C,22
6/16/2023 6:03,C,22
6/16/2023 6:13,C,22
6/16/2023 6:23,C,22
6/16/2023 6:33,C,22
6/16/2023 6:43,C,22
6/16/2023 6:53,C,22
6/16/2023 7:03,C,22.5
6/16/2023 7:13,C,23
6/16/2023 7:23,C,23
6/16/2023 7:33,C,23
6/16/2023 7:43,C,23.5
6/16/2023 7:53,C,24
6/16/2023 8:03,C,24.5
6/16/2023 8:13,C,25
6/16/2023 8:23,C,26
6/16/2023 8:33,C,26
6/16/2023 8:43,C,27
6/16/2023 8:53,C,28.5
6/16/2023 9:03,C,28.5
6/16/2023 9:13,C,33.5
6/16/2023 9:23,C,34
6/16/2023 9:33,C,34
6/16/2023 9:43,C,33
6/16/2023 9:53,C,35.5
6/16/2023 10:03,C,36
6/16/2023 10:13,C,34.5
6/16/2023 10:23,C,34.5
6/16/2023 10:33,C,35.5
6/16/2023 10:43,C,35
6/16/2023 10:53,C,36.5
6/16/2023 11:03,C,40
6/16/2023 11:13,C,39
6/16/2023 11:23,C,36.5
6/16/2023 11:33,C,37
6/16/2023 11:43,C,36.5
6/16/2023 11:53,C,39
6/16/2023 12:03,C,40.5
6/16/2023 12:13,C,39.5
6/16/2023 12:23,C,38.5
6/16/2023 12:33,C,36.5
6/16/2023 12:43,C,37
6/16/2023 12:53,C,39.5
6/16/2023 13:03,C,39
6/16/2023 13:13,C,38
6/16/2023 13:23,C,37
6/16/2023 13:33,C,37
6/16/2023 13:43,C,36
6/16/2023 13:53,C,36
6/16/2023 14:03,C,36
